keyword,similar_word,score
entity,defiantly,0.5578195452690125
entity,parishioner,0.5577608942985535
entity,nervous,0.5467388033866882
entity,unaware,0.5456146597862244
entity,ghost,0.5443968176841736
entity,faceless,0.5424817800521851
entity,involves,0.540066659450531
entity,lurk,0.5398515462875366
mist,fog,0.7239231467247009
mist,swirling,0.7080472707748413
mist,cloud,0.7035323977470398
mist,haze,0.6972399950027466
mist,orb,0.6906164884567261
mist,blob,0.6543678045272827
mist,greenish,0.6529529094696045
mist,smoky,0.6514235138893127
mist,ectoplasm,0.6498386263847351
mist,bluish,0.6483540534973145
mist,cloaked,0.6417427062988281
mist,misty,0.6256875395774841
mist,hellhound,0.6145856380462646
mist,troll,0.6097697019577026
mist,blur,0.6011750102043152
presence,foreboding,0.6558780670166016
presence,negative,0.6319859623908997
presence,aura,0.6146539449691772
presence,sense,0.608004629611969
presence,felt,0.6034192442893982
presence,uneasy,0.5943950414657593
presence,uncomfortable,0.5900066494941711
presence,overpowering,0.5845118761062622
presence,calming,0.5817892551422119
presence,energy,0.5797436833381653
presence,persists,0.5785365104675293
presence,menacing,0.577923059463501
presence,sensitive,0.5749456882476807
presence,vibe,0.5724813938140869
presence,threatening,0.5672169923782349
witch,warlock,0.6243029236793518
witch,craft,0.5883944630622864
witch,practiced,0.5593595504760742
witch,vigilante,0.5584491491317749
witch,sacrifice,0.5513908863067627
witch,satanist,0.5494834780693054
witch,worshipper,0.5482368469238281
witch,backyard,0.5400912761688232
witch,witchcraft,0.5354418754577637
witch,cult,0.5343384146690369
witch,stake,0.5272790193557739
witch,slept,0.5270963311195374
witch,settler,0.527032196521759
witch,lamb,0.5240241289138794
witch,orphan,0.5230502486228943
vampire,faceless,0.7384515404701233
vampire,protector,0.7319918870925903
vampire,legendary,0.7249521017074585
vampire,personality,0.7228755950927734
vampire,frequented,0.7125619649887085
vampire,nightclub,0.7066970467567444
vampire,nazi,0.7032456994056702
vampire,missionary,0.6909987926483154
vampire,occult,0.6906483173370361
vampire,hallow,0.6873846650123596
vampire,crucifix,0.6834816932678223
vampire,conflict,0.6787787675857544
vampire,werewolf,0.6784964203834534
vampire,saint,0.6783558130264282
vampire,tallest,0.6779488921165466
